country,id,score,tier,main_body,coverage,public_access,publication_model,format,has_archive,key_note,source_document,source_date
Austria,austria,2,Summary-based,OeAWI / OeAWI Commission,National,Yes,Annual reports with anonymised summaries,PDF reports,No,"Annual-report visibility; no searchable case archive.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Belgium,belgium,3,Fragmented / subnational,"VCWI (Flanders); no single national body",Subnational / regional (Flanders),Yes,"VCWI yearbooks / advice; no national archive",PDF yearbooks + web,No,"Flanders only; no single Belgian national archive located.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Bulgaria,bulgaria,1,"Body, no archive",Academic Ethics Committee + institutional committees,National + institutional,Some,"Some public opinions reported; no stable archive",Fragmentary reports,No,"Some public opinions reported; no stable official archive found.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Croatia,croatia,3,Fragmented / subnational,Committee on Ethics in Science and Higher Education,National,Yes,"Public opinions and reports; fragmented publication",Web + PDF,No,"Public case materials exist, but publication is fragmented.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Cyprus,cyprus,0,No national publication,No national body located,Institutional,No,Codes / guidance only,Guidance PDFs,No,"Codes/guidance public; no national case-publication route found.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Czechia,czechia,1,"Body, no archive",CAS Scientific Integrity Committee (academy only),Institutional / academy-specific,Some,"Committee exists; no public case archive",Web / profile,No,"CAS committee exists, but no national open case archive found.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Denmark,denmark,4,Structured archive,Danish Board on Research Misconduct,National,Yes,Structured board decisions archive,HTML + linked files,Yes,"Statutory board with public decisions archive.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Estonia,estonia,1,"Body, no archive",Estonian Research Council / transition arrangements,National + institutional,Some,"Framework described; no public case archive",Web / profiles,No,"Framework described; no open case archive found.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Finland,finland,4,Structured archive,TENK,National,Yes,Structured statement-summary archive,HTML summaries,Yes,"Stable archive of statement summaries.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
France,france,1,"Body, no archive",OFIS + institutional RI officers,National coordination + institutional investigations,Some,"Observatory / guidance; no central case archive",Web + reports,No,"Strong coordination structure; no central case archive found.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Germany,germany,2,Summary-based,Ombuds Committee for Research Integrity in Germany,National,Yes,"Annual reports / public info; no case database",Web + reports,No,"Annual reports/public info, but no searchable case archive.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Greece,greece,0,No national publication,No national structure located,Institutional / fragmented,No,No national case-publication mechanism located,Profiles / institutional,No,"No open national committee archive located.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Hungary,hungary,1,"Body, no archive",HAS Science Ethics Committee,Academy-led / national influence,Some,"Procedures public; no open case archive",Codes / procedures,No,"Procedures public; resolved cases not openly archived.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Iceland,iceland,1,"Body, no archive",No national body located,Institutional,Some,Institutional codes only,Codes / web,No,"Institutional codes only; no national archive found.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Ireland,ireland,1,"Body, no archive",National Research Integrity Forum + institutions,National coordination + institutional investigations,Some,"Policy coordination; no central case archive",Policy PDFs,No,"Policy coordination public; no central case archive.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Italy,italy,3,Fragmented / subnational,CNR Research Ethics and Integrity Committee / RI Unit,Institution-specific (CNR) with broader national relevance,Yes,"Institutional documents (CNR); no national archive",Document archive,No,"Best public material found at CNR, not nationwide.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Latvia,latvia,0,No national publication,No national body located,Institutional,No,Institutional procedures only,University regs,No,"Institutional rules only; no national public case mechanism located.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Lithuania,lithuania,4,Structured archive,Ombudsperson for Academic Ethics and Procedures,National,Yes,Structured decisions archive,HTML archive,Yes,"Decisions archive plus privacy guidance.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Luxembourg,luxembourg,2,Summary-based,LARI / CRI,National,Yes,"Annual reports / public info; no case archive",Web + reports,No,"Annual reporting visible; no searchable case repository.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Malta,malta,0,No national publication,No national body clearly located,Institutional / policy,No,Guidelines / ethics procedures only,Guidance PDFs,No,"Ethics guidance public; no case archive found.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Netherlands,netherlands,4,Structured archive,LOWI,National appeal / advisory body,Yes,Structured opinions archive,HTML archive,Yes,"Mature public archive of opinions.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Norway,norway,4,Structured archive,Granskingsutvalget,National,Yes,Structured statements archive,HTML archive,Yes,"Stable archive of commission statements.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Poland,poland,2,Summary-based,Committee on Ethics in Science (PAN),National committee / academy-led,Yes,"Public opinions / activity; not structured archive",Web / statements,No,"Public outputs exist, but not a coherent case archive.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Romania,romania,4,Structured archive,CNECSDTI,National,Yes,Structured decisions and reports archive,HTML + PDFs,Yes,"Formal decisions and historical archives are public.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Slovakia,slovakia,1,"Body, no archive",No national commission located,Institutional / academy-specific,Some,"Codes / committee structures; no archive",Profile + code,No,"Committee structures public; no national archive found.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Slovenia,slovenia,0,No national publication,No national structure located,Institutional / fragmented,No,No national public case publication located,Profile,No,"No national public archive located.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Spain,spain,1,"Body, no archive",CSIC Ethics Committee + institutions,Institutional / council-level,Some,"Advisory structure; no central archive",Web / profiles,No,"Advisory structures public; national case publication limited.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Sweden,sweden,4,Structured archive,NPOF,National,Yes,Structured decisions archive,HTML archive,Yes,"Clear national decisions archive.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Switzerland,switzerland,2,Summary-based,SNSF Commission on Research Integrity,National funder / national framework,Yes,Annual reports + occasional case news,PDF + web news,No,"Selective annual reports/news; no stable case database.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
United Kingdom,united-kingdom,2,Summary-based,UKRIO / Concordat decentralized model,UK-wide decentralized / institutional,Yes,Institutional annual statements + synthetic case studies,Web hubs + PDFs,No,"Decentralized institutional publication under Concordat model.",data/transparency_research_integrity_europe_overview.docx,2026-04-17
Germany,germany,3,"Funder case-publication list plus ombuds and institutional annual reports","DFG scientific-misconduct press-release list, DFG misconduct procedure, OWID annual reports, and selected institutional annual reports or ombuds pages","DFG-funded and DFG-handled cases, national ombuds advice and mediation reporting, institutional ombuds/procedure pages, selected university annual reports, and shared institutional routes",Yes,"Stable DFG press-release list for selected funder-jurisdiction cases, OWID aggregate annual reporting, and scattered institutional annual-report or procedure evidence rather than a consolidated national decision database","Web, curated press-release list, individual press releases, annual-report PDFs, procedure pages",No,"Germany has a public case-publication ladder rather than a national database; none of the public lanes covers all German institutional or research-organization decisions.",data/Germany/raw documentation/source notes/Germany deep-dive sources.md,2026-04-23
France,france,3,"National aggregate monitoring plus selective operator case reports","Ofis national synthesis and RIS directory, CNRS/MIS selective report publication, Inadis second-look route, and institutional annual reports or procedure pages","National aggregate handling data, live handler-directory visibility, selected CNRS operator reports, and local institutional activity reporting; no unified national decision archive",Yes,"Aggregate national monitoring plus selective operator and institutional publication rather than a searchable national misconduct decision database","Web, PDF synthesis, selective operator reports, institutional annual reports",No,"France has more public case-material visibility than the original transparency overview suggested: Ofis publishes aggregate national handling evidence, CNRS/MIS publishes selected reports, and some institutions publish annual activity. These lanes remain distributed and selective, not a national archive.",data/France/raw documentation/source notes/France deep-dive sources.md,2026-04-23
Slovakia,slovakia,3,"National aggregate monitoring plus fragmented institutional minutes and opinions","NKVIE annual reporting and survey evidence, with local publication nodes at UPJS and STU and a separate APVV route","National aggregate monitoring, meetings and annual reporting, institutional committee minutes and opinions, funder procedure, and academy or university committee structures",Yes,"Aggregate national monitoring plus selective institutional minutes and opinion publication rather than a searchable national misconduct decision database","Web, annual-report PDF, meeting PDF, institutional minutes and opinion PDFs",No,"Slovakia is more public than the older transparency layer suggested: NKVIE publishes aggregate monitoring and annual-report material, while UPJS and STU expose local committee outputs. These remain fragmented and do not add up to a national archive.",data/Slovakia/raw documentation/source notes/Slovakia deep-dive sources.md,2026-04-23
Portugal,portugal,2,"Institutional opinions and local aggregate reporting, no national archive","U.Porto CEUP public opinions and recommendations, Coimbra CEIUC annual reporting, CEIC clinical indicators, and local route pages anchored by CNECV's recommendation","Institutional and boundary-fragmented: public university opinion folders, local committee activity reporting, clinical-ethics indicators and route pages, but no unified national general-integrity archive","Yes, but uneven","No national public misconduct archive. Publication runs through institutional opinion folders, local activity reports, clinical-ethics indicators and committee route pages.","Web, institutional document folders and annual-report PDFs",No,"Portugal is more public than the older transparency overview suggested: U.Porto exposes opinion folders, Coimbra CEIUC publishes annual activity reporting, and CEIC publishes clinical indicators, but no national general-misconduct archive was identified.",data/Portugal/raw documentation/source notes/Portugal deep-dive sources.md,2026-04-23
Russia,russia,3,"Attestation-order and retraction databases without a general misconduct archive","Minobrnauki, VAK/GIS Nauka attestation-order and dissertation-card routes, RAS ethics and anti-falsification bodies, ANRI retraction database, institutional routes, and GRLS clinical-trial boundary register","National attestation and academy/professional routes plus institutional and specialist boundary lanes. Public case-like material is strongest in VAK/GIS Nauka orders and ANRI retraction records, not in a single general misconduct archive","Moderate for route architecture, indexed VAK/GIS Nauka material, ANRI retraction data and GRLS clinical-trial metadata; weak for general misconduct reasoning across all institutions; unstable for some VAK/GIS Nauka pages in this pass","Distributed publication of attestation-order PDFs, dissertation-card metadata, retraction database records, committee pages, institutional procedure pages and clinical-trial register data rather than a unified public archive of research-integrity decisions","Official order PDFs, portal/register pages, academy committee pages, professional retraction database, institutional pages and clinical-trial register",Yes,"Russia should be coded as lane-specific public visibility: VAK/GIS Nauka is a high-priority official extraction target for attestation consequences, ANRI is a professional retraction database, and GRLS is a clinical boundary register. None of these is a general national misconduct archive.",data/Russia/raw documentation/source notes/Russia deep-dive sources.md,2026-04-24
Hungary,hungary,1,"Low general misconduct publication with biomedical permit and institutional approval archives","MTA Science Ethics Committee (TeB), TUKEB, Corvinus REC, ETT, NNGYK/CTIS and NEBIH","Academy-led general integrity route with separate biomedical, clinical-trial, institutional approval and animal-reporting lanes; no unified general misconduct archive","Some for routes, publication rules, aggregate report traces, permit pages and approval PDFs; weak for named or searchable general misconduct findings","TeB publication basis and aggregate reporting, TUKEB permit archive, Corvinus approval decision PDFs, ETT statements, CTIS-linked clinical-trial routing and NEBIH animal reporting rather than a general misconduct archive","Code PDF, official report pages, permit pages, institutional decision PDFs, authority pages and boundary register pages",Yes,"Hungary remains low for general misconduct publication, but the archive links must be stored: TUKEB annual permit pages and Corvinus REC decisions are concrete extraction targets, while TeB publication rules and Academy report traces are route evidence rather than a live decision archive.",data/Hungary/raw documentation/source notes/Hungary deep-dive sources.md,2026-04-24
Croatia,croatia,3,"Fragmented legacy and institutional case traces","Legacy Committee on Ethics in Science and Higher Education plus current institutional ethics routes","Legacy national plus current institutional and funder routes",Yes,"Legacy public opinions and reports, current institutional annual-report summaries and public statements; no current national archive",Web + PDF,No,"Croatia has real but fragmented public case traces: the old Odbor route produced work reports and individual opinions, Zagreb publishes annual-report statistics, Rijeka publishes statements and principled outputs, and HRZZ/Split expose route or planned-reporting evidence without located public case files.",data/Croatia/raw documentation/source notes/Croatia deep-dive sources.md,2026-04-24
Belgium,belgium,3,"Flemish annual-report fragments plus FWB procedure visibility","VCWI, KU Leuven and UAntwerpen annual reports; CSIS/FWB procedure and directory routes","Flemish second-line and first-line institutional, plus FWB procedure/handler-directory routes","Yes, but lane-specific","Anonymized annual reports and institutional summaries in Flanders; procedure/directory visibility in FWB; no national archive",Web + PDF annual reports,No,"24 April 2026 pass shows Belgium is a fragmented public-visibility system: VCWI annual reports through 2025 and KU Leuven/UAntwerpen summaries expose real case material, while CSIS/FWB remains mainly procedural and directory-visible.",data/Belgium/raw documentation/source notes/Belgium deep-dive sources.md,2026-04-24
Czechia,czechia,2,"Institutional statement archive plus route-visible distributed system","Charles University Ethics Commission statements and minutes; CAS, universities, funders and specialist regulators as route architecture","National framework, CAS committee architecture, Charles University statement/minutes archive, selected university committee routes, funder conditions and boundary routes","Yes, but institutional and mixed","Institutional statement/minutes archive at Charles University; no national misconduct archive; CAS and funder lanes mostly route-visible or consequence-rule evidence","Web + linked PDF statements/minutes",No,"24 April 2026 pass found no national Czech misconduct archive, but Charles University exposes a durable institutional micro-publication archive that should be indexed separately from CAS route visibility, funder consequence rules and boundary approvals.",data/Czechia/raw documentation/source notes/Czechia deep-dive sources.md,2026-04-24
Slovenia,slovenia,1,"National publication rule but no live opinion archive","National Council for Ethics and Integrity in Science, with institutional first-line routes","Council governance documents, procedure rules with anonymized-opinion publication, recommendations, work report trace of one ARIS-referred initiative, university and institute rules, and boundary routes","Prospective for council opinions; public for route documents","Procedure-based anonymized publication rule and annual reporting rather than a live national opinion archive","Web + PDFs",No,"24 April 2026 pass found a national council and a formal anonymized-opinion publication rule, but no live archive of national opinions. One ARIS-referred initiative in 2023-2025 did not lead to a procedure because the conduct was not considered a research-integrity breach.",data/Slovenia/raw documentation/source notes/Slovenia deep-dive sources.md,2026-04-24
Spain,spain,2,"National route documents plus subnational recommendation fragment","CEEI and CIR-CAT, with CSIC, ISCIII and universities as institutional routes","National consultative route, Catalan regional integrity procedure and recommendation, institutional committee/code pages and specialist ethics-boundary routes","Yes for laws, reports, recommendations, procedure pages and at least one regional recommendation; weak for complete case files and no national decision archive","Distributed publication of CEEI reports, recommendations and administrative route documents plus CIR-CAT procedure/recommendation material; no searchable national misconduct archive","Official web pages + PDF reports/recommendations",No,"24 April 2026 pass upgrades Spain from body-only visibility to fragmented route/output visibility: CEEI publishes national reports and procedure documents, CIR-CAT publishes a handling procedure and Recommendation 1/2025, but no national searchable archive of misconduct findings was identified.",data/Spain/raw documentation/source notes/Spain deep-dive sources.md,2026-04-24
Switzerland,switzerland,2,"Funder annual reporting plus institutional publication-rule visibility","SNSF Commission on Research Integrity and Plagiarism Control Group; ETH Zurich Integrity Commission rule; SCCSI monitoring","National funder route, national monitoring/advisory route, selected institutional procedure-publication rule and boundary registries","Yes for SNSF annual anonymised reporting and occasional case news; prospective for ETH anonymised investigation reports; no national case archive","Annual anonymised funder reports, occasional public case news, institutional publication rules and boundary-regime registries rather than a searchable national misconduct archive","PDF annual reports + web news + procedure pages",No,"24 April 2026 pass confirms Switzerland as summary-based rather than LOWI-like: SNSF publishes anonymised annual case statistics and occasional case news; ETH Zurich now has a strong rule for anonymised investigation-report publication, but no live archive was located; SCCSI receives annual institutional reporting without personal details and is not an appeal or case-handling body.",data/Switzerland/raw documentation/source notes/Switzerland deep-dive sources.md,2026-04-24
Switzerland,switzerland,3,"Funder annual reporting plus institutional case-file fragments","SNSF Commission on Research Integrity and Plagiarism Control Group; ETH Zurich Integrity Commission report list; SCCSI monitoring","National funder route, national monitoring/advisory route, ETH Zurich institutional report list and boundary registries","Yes for SNSF annual anonymised reporting and occasional case news; yes for ETH Zurich anonymised report PDFs; no national case archive","Annual anonymised funder reports, occasional public case news, ETH Zurich institutional report list and boundary-regime registries rather than a searchable national misconduct archive","PDF annual reports + web news + ETH table endpoints + procedure pages",Yes,"24 April 2026 correction confirms Switzerland as fragmented rather than LOWI-like nationally: ETH Zurich exposes four anonymised report PDFs and procedure statistics through table endpoints, while SNSF remains the strongest national/funder summary lane and SCCSI is monitoring/advice only.",data/Switzerland/raw documentation/source notes/Switzerland deep-dive sources.md,2026-04-24
Austria,austria,2,"Summary-based annual-report corridor with institutional rule fragments","OeAWI / OeAWI Commission, with FWF annual publication and institutional route-rule fragments","National OeAWI and funder routes plus selected institutional procedure and publication-rule fragments","Yes for OeAWI annual reports and route pages; no searchable decision archive or ETH-like institutional repository located","OeAWI annual-report archive with anonymised inquiry summaries, FWF annual publication practice and institutional routes that are mostly procedure-only or internal-reporting rules","PDF annual reports + official webpages + institutional statutes",No,"24 April 2026 pass confirms Austria as summary-based: OeAWI's download area provides the strongest public source with annual reports from 2011 through 2023 and anonymised inquiry summaries; institutional searches found Vienna, Medical University of Innsbruck and Salzburg rule/route fragments but no public institutional case-file repository.",data/Austria/raw documentation/source notes/Austria deep-dive sources.md,2026-04-24
Ireland,ireland,2,"Summary-based national reporting with procedure-rich institutional routes","National Research Integrity Forum annual statistics, IUA research-integrity portal, institutional RIO routes and Research Ireland grant terms","National summary reporting on concluded formal investigations plus local institutional procedure pages at universities, technological universities, public RPOs and funders","Good for policy, guidance, annual aggregate statistics and institutional route design; weak for case-level reasoning because no public decision archive or ETH-style institutional repository was located","Annual anonymized national statistics reports and distributed institutional procedure fragments rather than individual public case reports","Web + PDF annual statistics + institutional policy/procedure pages",No,"24 April 2026 pass upgrades Ireland from body-only visibility to summary-based transparency: NRIF publishes an annual statistics archive for formal investigations from 2016 through 2023, but institutional searches found RIO/procedure fragments rather than public case reports or a searchable decision repository.",data/Ireland/raw documentation/source notes/Ireland deep-dive sources.md,2026-04-24
Latvia,latvia,3,"Fragmented institutional decision stream plus boundary visibility","University of Latvia Academic Ethics Commission decisions; LAS/LCS code route; institutional and boundary bodies","National code route, UL institutional academic-ethics decisions, university research-ethics approvals, biomedical and animal/data/open-science boundaries","Good for UL Academic Ethics Commission decisions and research-ethics approval registers; weak for national LAS/LCS outcomes and most other institutions","Institutional decision-list publication and approval/opinion registers rather than a national misconduct database","Official web pages and PDFs",Yes,"24 April 2026 pass upgrades Latvia from procedure-only visibility to fragmented institutional case visibility: UL publishes dated Academic Ethics Commission decisions from 2019 through 2026, but no current national LAS/LCS case archive was found and research-ethics approvals remain separate.",data/Latvia/raw documentation/source notes/Latvia deep-dive sources.md,2026-04-24
Luxembourg,luxembourg,2,"Summary-based national reporting with rare funder case signal","LARI / Commission for Research Integrity, FNR, CNER and ALVA boundary routes","National LARI/CRI route for member organisations and FNR-funded research; CNER health-ethics reports and favourable-opinion list; ALVA animal-use annual statistics","Good for governance documents, aggregate LARI annual reporting, one rare FNR case communication and boundary reports; no public CRI final-report archive","Aggregate annual reports, governance/procedure pages, rare funder communication and boundary approval/statistics reports","Official web pages and PDFs",No,"24 April 2026 pass keeps Luxembourg at summary-based transparency: LARI annual reports and one FNR statement expose limited practice evidence, but CRI final reports are confidential and CNER/ALVA outputs are boundary approval lanes rather than misconduct files.",data/Luxembourg/raw documentation/source notes/Luxembourg deep-dive sources.md,2026-04-24
Cyprus,cyprus,1,"Low general research-misconduct publication with bioethics and QA report lanes","No national misconduct board located; CNBC and CYQAA publish adjacent bioethics and quality-assurance outputs","CNBC bioethics decision/register, opinion and annual-report lanes; CYQAA accreditation/rejection reports and complaint-publication rule; selected RIF and institutional route pages","Some for adjacent lanes, weak for general research misconduct","Public project-approval/register files, bioethics opinions, annual reports, accreditation reports and complaint-publication rules rather than a public misconduct case archive","Official pages, PDFs, report tables and institutional route pages",No,"24 April 2026 pass upgrades Cyprus from no-publication coding to low transparency: no general misconduct archive was found, but CNBC publishes research-proposal decision/register files for 2020-2023 and CYQAA exposes quality-assurance complaint/report publication lanes that must be kept separate from misconduct findings.",data/Cyprus/raw documentation/source notes/Cyprus deep-dive sources.md,2026-04-24
Kosovo,kosovo,1,"Low general misconduct publication with QA report and institutional micro-publication lanes","No national misconduct board located; KAA publishes quality-assurance decisions and reports, while UP supplies the clearest institutional ethics-case traces.","KAA decisions, expert reports, monitoring and post-accreditation reports, SCQ meeting notices, Appeals Committee activity, UP Ethics Council and disciplinary routes, and selected data-protection boundary records.","Moderate for accreditation and quality-assurance records, low for general research-misconduct findings.","Public QA decision/report corridors plus isolated institutional ethics notices rather than a searchable national misconduct archive.","Official pages, PDFs, annual report, institutional news notices and boundary decision pages",No,"26 April 2026 pass adds Kosovo to the transparency layer: no national general misconduct archive was found, but KAA publishes QA file corridors and UP has isolated ethics-case notices, especially the 2 May 2025 notice about an 18 April 2025 Ethics Council decision.",data/Kosovo/raw documentation/source notes/Kosovo deep-dive sources.md,2026-04-26
